label,youtube_id,time_start,time_end,split
testifying,---QUuC4vJs,84,94,validate
washing feet,--GkrdYZ9Tc,0,10,validate
air drumming,--nQbRBEz2s,104,114,validate
pull ups,--rd8woSLiM,41,51,validate
building cabinet,--uGS0Y4D6k,9,19,validate
petting cat,-07WVYMSwac,20,30,validate
building cabinet,-08En2aQklI,233,243,validate
marching,-0IErS_cisg,17,27,validate
playing paintball,-0ML-FXomBw,1,11,validate
playing paintball,-0MsYnGUrfE,22,32,validate
waxing eyebrows,-0R-mZKKFNE,15,25,validate
assembling bicycle,-0XtezGo2MM,283,293,validate
windsurfing,-0Y3H5y75t8,20,30,validate
golf putting,-0Yb1tD3HUo,4,14,validate
marching,-0kVxoFuMGQ,622,632,validate
smoking,-0vzKnJrPQs,96,106,validate
flying kite,-0yuyrbruYM,79,89,validate
windsurfing,-1-tBHJnKu0,199,209,validate
waxing eyebrows,-1eG3Pu46WU,0,10,validate
unloading truck,-2D_WrDD1Is,12,22,validate
assembling bicycle,-2JwzNBHs5c,25,35,validate
marching,-2KG4xiBL1s,5,15,validate
marching,-2KezGiYpZA,48,58,validate
air drumming,-37UUIjsmGA,16,26,validate
smoking,-3D9cHBM4bo,27,37,validate
assembling bicycle,-3H316mYQ00,357,367,validate
cutting nails,-3LQIrz9FoM,10,20,validate
using a microscope,-3WESQwMIb4,30,40,validate
blowing glass,-3ZP0DrCnOQ,136,146,validate
tossing coin,-3cITTb9tmA,239,249,validate
smoking,-3oeeJz_bjk,9,19,validate
photobombing,-3py2C2GeJo,6,16,validate
barbequing,-3usVvvMGSY,111,121,validate
air drumming,-3xvTiROe7o,0,10,validate
barbequing,-43p5IQaY18,383,393,validate
scrapbooking,-4IklaF1t0I,35,45,validate
marching,-4c4r9YeS6s,98,108,validate
flying kite,-4dHxTY4iwo,43,53,validate
golf putting,-4ggQ2PfUOc,244,254,validate
arm wrestling,-4hx9N2OhZo,29,39,validate
photobombing,-4n9eGgg1cw,0,10,validate
gospel singing in church,-4smwSiYavM,12,22,validate
flying kite,-51ACZu5ZPI,4,14,validate
marching,-534IANO-AM,120,130,validate
arranging flowers,-586Cj6Npa8,212,222,validate
playing basketball,-5FtgMgevX0,14,24,validate
windsurfing,-5HemBLbCrQ,78,88,validate
riding elephant,-5JKWL9AKOY,12,22,validate
moving furniture,-5jkBtJb8xU,19,29,validate
building cabinet,-6HqxKZzLk4,20,30,validate
unboxing,-6RkvfyLrW4,118,128,validate
putting in contact lenses,-6V1GdS-0Tg,121,131,validate
air drumming,-6_yubx7iSg,1,11,validate
air drumming,-6b9q-zQnPk,20,30,validate
putting in contact lenses,-6etbj6hzM0,44,54,validate
making a sandwich,-6kdMYDjYQM,191,201,validate
photobombing,-6s3LbylfYM,2,12,validate
air drumming,-7QDJQU657I,1,11,validate
golf putting,-7a1j_Q6PUk,30,40,validate
pumping fist,-7tYdJAoVrc,29,39,validate
unloading truck,-89F37DQpqo,0,10,validate
pumping fist,-8F5ATqM1vw,69,79,validate
pumping fist,-8fvlRU8aAI,157,167,validate
air drumming,-8khhEKByEM,6,16,validate
building cabinet,-8rD7fiC-Pk,81,91,validate
ice swimming,-8vg4ePPTD8,7,17,validate
swimming backstroke,-9F3uySCOS8,48,58,validate
playing basketball,-9UwQwfuRsc,11,21,validate
making tea,-9kEVsj2N5k,26,36,validate
delivering mail,-9oTt1ycxPk,24,34,validate
flying kite,-A-5wR2-u5M,16,26,validate
windsurfing,-A-YeDNl78o,9,19,validate
riding elephant,-ADPxKGLQYg,6,16,validate
changing oil,-B6Aogi3klU,5,15,validate
barbequing,-BIgUCoMCVE,140,150,validate
marching,-BLN3nHFjJU,663,673,validate
home roasting coffee,-BdonAovQQU,246,256,validate
feeding fish,-BfA5d412Fc,21,31,validate
barbequing,-BkdwVmG-zw,188,198,validate
docking boat,-BnUj6zaunY,0,10,validate
windsurfing,-BpKyalPqsA,4,14,validate
reading book,-BpPSxp00_M,499,509,validate
building cabinet,-Bvrofu-Ky4,708,718,validate
cooking on campfire,-BxgBe3Gx9U,33,43,validate
playing basketball,-C6gcd8PYY0,50,60,validate
scrapbooking,-CDFTGeoLYA,68,78,validate
swimming backstroke,-CIuD-A_1Ls,53,63,validate
sharpening pencil,-CQ6GzkHHPo,12,22,validate
pumping fist,-CaI3htIs6k,43,53,validate
playing paintball,-Ch536zP_Z8,7,17,validate
training dog,-CkUzbeMLe0,72,82,validate
building cabinet,-Cr0BPNzlis,310,320,validate
skateboarding,-DsEjAY4MHY,10,20,validate
riding elephant,-EBIDrH1sVE,4,14,validate
smoking,-EDIE7Ywri0,108,118,validate
pumping fist,-EMJAdHvDzA,0,10,validate
scrapbooking,-EXzOUx_AOI,107,117,validate
photobombing,-Et8BXPqSck,0,10,validate
testifying,-FoTOgyrttQ,19,29,validate
playing basketball,-GMkZDHx5jg,11,21,validate
playing paintball,-GbUR6K-Q5M,128,138,validate
playing guitar,-HIql1jZqGw,2,12,validate
blowing glass,-HNVoKxrMds,2,12,validate
sword swallowing,-HT5GP6F0js,146,156,validate
pushing cart,-HcQAhcK66o,1,11,validate
skateboarding,-HtS_A9GirY,58,68,validate
playing paintball,-HttSia1uHE,175,185,validate
blowing glass,-I3O6EertpQ,215,225,validate
golf putting,-IOJwNb02fA,60,70,validate
delivering mail,-IoBG8wErD4,0,10,validate
flipping pancake,-Iy58HZYev0,0,10,validate
baking cookies,-J8jfO0Fp6M,335,345,validate
building cabinet,-JH97nvpkoc,131,141,validate
smoking,-Jt8UtIUgDg,19,29,validate
applying cream,-JxYbelw4Ls,103,113,validate
arranging flowers,-KOWvScu7Xc,24,34,validate
playing paintball,-KSlNTNJDxo,9,19,validate
smoking,-KTJl81A98Y,30,40,validate
riding elephant,-KfO8zXcAbw,3,13,validate
skateboarding,-KkkzJ1yWHE,300,310,validate
smoking,-KmI1S3A9Rc,252,262,validate
